,ImgId,Impact_Mean,Impact_std,Impact_var
0,0010f0a8-0345-5325-8b53-e8acca92082d,1.6666666666666667,1.1547005383792517,1.3333333333333337
1,0010f0a8-0345-5325-8b53-e8acca92082d_cap0_0,2.0,0.0,0.0
2,0010f0a8-0345-5325-8b53-e8acca92082d_cap1_0,4.0,0.0,0.0
3,0010f0a8-0345-5325-8b53-e8acca92082d_cap2_0,2.333333333333333,1.1547005383792517,1.3333333333333333
4,001d81a9-8f14-5c4d-b2fa-c77c441bb945,2.0,1.0,1.0
5,001d81a9-8f14-5c4d-b2fa-c77c441bb945_cap1_2,2.0,1.0,1.0
6,001d81a9-8f14-5c4d-b2fa-c77c441bb945_cap2_1,2.6666666666666665,1.5275252316519468,2.333333333333333
7,002775df-dc2d-572b-be5e-c4f4ff3b70b3,3.2,0.8366600265340756,0.7
8,002775df-dc2d-572b-be5e-c4f4ff3b70b3_cap1_3,3.2,1.3038404810405295,1.7000000000000002
9,002775df-dc2d-572b-be5e-c4f4ff3b70b3_cap2_1,2.8,1.3038404810405295,1.7000000000000002
10,00384e68-b563-5dcd-b418-36800c3aa97b,1.3333333333333333,0.5773502691896257,0.3333333333333333
11,00384e68-b563-5dcd-b418-36800c3aa97b_cap0_0,1.6666666666666667,0.5773502691896257,0.3333333333333333
12,00384e68-b563-5dcd-b418-36800c3aa97b_cap1_3,3.6666666666666665,0.5773502691896258,0.3333333333333333
13,00384e68-b563-5dcd-b418-36800c3aa97b_cap2_2,3.333333333333333,0.5773502691896258,0.3333333333333333
14,0045d2e7-0750-58d8-97f0-dabf8d954c55,2.0,1.0,1.0
15,0045d2e7-0750-58d8-97f0-dabf8d954c55_cap0_0,2.333333333333333,0.5773502691896258,0.3333333333333333
16,0045d2e7-0750-58d8-97f0-dabf8d954c55_cap1_1,2.0,1.7320508075688772,3.0
17,0045d2e7-0750-58d8-97f0-dabf8d954c55_cap2_0,3.333333333333333,1.1547005383792517,1.3333333333333333
18,0065ca47-09f2-5a4c-8a9f-679f085ef8be,2.6666666666666665,0.5773502691896257,0.3333333333333332
19,0065ca47-09f2-5a4c-8a9f-679f085ef8be_cap0_0,2.0,0.0,0.0
20,0065ca47-09f2-5a4c-8a9f-679f085ef8be_cap1_3,2.0,1.7320508075688772,3.0
21,0065ca47-09f2-5a4c-8a9f-679f085ef8be_cap2_0,3.0,1.7320508075688772,3.0
22,00713f2d-8c67-5ba2-9c26-cad5f5102f93,2.0,1.0,1.0
23,00713f2d-8c67-5ba2-9c26-cad5f5102f93_cap0_0,3.0,0.0,0.0
24,00713f2d-8c67-5ba2-9c26-cad5f5102f93_cap1_2,4.0,0.0,0.0
25,00713f2d-8c67-5ba2-9c26-cad5f5102f93_cap2_2,1.3333333333333333,0.5773502691896257,0.3333333333333333
26,00715db9-9c9e-5d82-a41e-1e23b3a23659,3.0,1.0,1.0
27,00715db9-9c9e-5d82-a41e-1e23b3a23659_cap0_3,3.333333333333333,1.1547005383792517,1.3333333333333337
28,00715db9-9c9e-5d82-a41e-1e23b3a23659_cap1_2,2.6666666666666665,0.5773502691896258,0.3333333333333333
29,00715db9-9c9e-5d82-a41e-1e23b3a23659_cap2_2,1.0,0.0,0.0
30,0091ac4b-9315-5eaa-9044-9c6a37560b64,2.0,1.0,1.0
31,0091ac4b-9315-5eaa-9044-9c6a37560b64_cap0_2,3.333333333333333,1.1547005383792517,1.3333333333333337
32,0091ac4b-9315-5eaa-9044-9c6a37560b64_cap1_3,2.333333333333333,1.5275252316519463,2.333333333333333
33,0091ac4b-9315-5eaa-9044-9c6a37560b64_cap2_1,2.333333333333333,1.1547005383792517,1.3333333333333333
34,00b74d34-962d-5242-b179-9def470a2f95,1.6666666666666667,0.5773502691896258,0.3333333333333333
35,00b74d34-962d-5242-b179-9def470a2f95_cap0_2,2.333333333333333,1.1547005383792517,1.3333333333333333
36,00b74d34-962d-5242-b179-9def470a2f95_cap2_0,2.0,1.0,1.0
37,00cc8909-90bb-5b95-a766-32b7db025d03,1.6666666666666667,1.1547005383792517,1.3333333333333337
38,00cc8909-90bb-5b95-a766-32b7db025d03_cap0_3,2.333333333333333,0.5773502691896257,0.3333333333333332
39,00cc8909-90bb-5b95-a766-32b7db025d03_cap2_2,1.6666666666666667,0.5773502691896257,0.3333333333333333
40,013831f5-d15e-55f2-8e76-2d6284c507ea,2.0,1.224744871391589,1.4999999999999998
41,013831f5-d15e-55f2-8e76-2d6284c507ea_cap0_3,2.4,1.140175425099138,1.3
42,013831f5-d15e-55f2-8e76-2d6284c507ea_cap1_1,2.4,0.8944271909999159,0.8
43,013831f5-d15e-55f2-8e76-2d6284c507ea_cap2_2,1.8,1.095445115010332,1.2
44,0186e838-7afe-575a-81fd-87044e3ee50c,3.0,1.0,1.0
45,0186e838-7afe-575a-81fd-87044e3ee50c_cap0_2,2.6666666666666665,0.5773502691896258,0.3333333333333333
46,0186e838-7afe-575a-81fd-87044e3ee50c_cap2_2,2.0,1.7320508075688772,3.0
47,01963ccc-4ee9-5878-9b2e-f59cc6312d5f,1.6666666666666667,1.1547005383792517,1.3333333333333337
48,01963ccc-4ee9-5878-9b2e-f59cc6312d5f_cap0_1,2.333333333333333,1.1547005383792517,1.3333333333333337
49,01963ccc-4ee9-5878-9b2e-f59cc6312d5f_cap1_0,2.0,0.0,0.0
50,01a41d27-846a-56d5-aa2e-9b280e4123ef,1.6666666666666667,0.5773502691896258,0.3333333333333333
51,01a41d27-846a-56d5-aa2e-9b280e4123ef_cap0_0,2.6666666666666665,1.1547005383792517,1.3333333333333333
52,01a41d27-846a-56d5-aa2e-9b280e4123ef_cap1_0,3.0,0.0,0.0
53,01a41d27-846a-56d5-aa2e-9b280e4123ef_cap2_1,2.0,1.7320508075688772,3.0
54,020aa744-ffb8-5785-bf98-d12fa4fec31e,2.8,1.095445115010332,1.2
55,020aa744-ffb8-5785-bf98-d12fa4fec31e_cap0_3,2.6,0.8944271909999159,0.8
